Package,post,N,A,Ce,Ca,I,D,,pkgCohesion,pkgCoupling,pkgCyclDepss,pkgCyclpkgs,Package Name 
org.eclipse.core.internal.utils,0,12,0.090909091,9,9,0.5,0.409090909,,0.1,0.888888889,1,0.988888889,org.eclipse.core.internal.utils
org.eclipse.core.internal.watson,0,16,0.6,6,3,0.666666667,0.266666667,,0.355555556,0.888888889,1,1,org.eclipse.core.internal.watson
org.eclipse.core.launcher,0,2,0,7,0,0,1,,0,0,0,0,org.eclipse.core.launcher
org.eclipse.core.resources,7,31,14.5,8,142,0.053333333,13.55333333,,0.027559055,0.665354331,0.984251969,0.988188976,org.eclipse.core.resources
org.eclipse.core.resources.ant,0,4,0,8,0,0,1,,0.1875,0.8125,1,1,org.eclipse.core.resources.ant
org.eclipse.core.resources.team,0,2,0,2,6,0.25,0.75,,0,0,0,0,org.eclipse.core.resources.team
org.eclipse.core.runtime,0,31,1.818181818,9,206,0.041860465,0.860042283,,0.015554115,0.872974725,0.996111471,0.998055736,org.eclipse.core.runtime
org.eclipse.core.runtime.model,1,13,0.181818182,6,8,0.428571429,0.38961039,,0.213114754,0.868852459,0.967213115,0.950819672,org.eclipse.core.runtime.model
org.eclipse.debug.core,1,19,3.75,7,26,0.212121212,2.962121212,,0.155,0.87,0.96,0.99,org.eclipse.debug.core
org.eclipse.debug.core.model,1,26,0,7,25,0.21875,0.78125,,0.173913043,0.782608696,1,1,org.eclipse.debug.core.model
org.eclipse.debug.internal.core,3,15,0,11,3,0.785714286,0.214285714,,0.214285714,0.928571429,0.957142857,0.971428571,org.eclipse.debug.internal.core
org.eclipse.debug.internal.ui,0,14,0.272727273,29,9,0.763157895,0.035885167,,0.070967742,0.819354839,0.941935484,0.974193548,org.eclipse.debug.internal.ui
org.eclipse.debug.internal.ui.actions,4,56,0.272727273,29,3,0.90625,0.178977273,,0.313829787,0.856382979,0.989361702,0.989361702,org.eclipse.debug.internal.ui.actions
org.eclipse.debug.internal.ui.launchConfigurations,6,10,0,34,4,0.894736842,0.105263158,,0.06870229,0.79389313,0.984732824,0.977099237,org.eclipse.debug.internal.ui.launchConfigurations
org.eclipse.debug.internal.ui.preferences,1,16,0.142857143,23,5,0.821428571,0.035714286,,0.146788991,0.798165138,0.990825688,0.981651376,org.eclipse.debug.internal.ui.preferences
org.eclipse.debug.internal.ui.views,0,4,3,5,4,0.555555556,2.555555556,,0.090909091,0.681818182,1,1,org.eclipse.debug.internal.ui.views
org.eclipse.debug.internal.ui.views.breakpoints,0,4,0,13,0,0,1,,0.105263158,0.657894737,1,1,org.eclipse.debug.internal.ui.views.breakpoints
org.eclipse.debug.internal.ui.views.console,2,6,0,24,2,0.923076923,0.076923077,,0.065934066,0.758241758,0.967032967,0.978021978,org.eclipse.debug.internal.ui.views.console
org.eclipse.debug.internal.ui.views.expression,0,3,0,11,0,0,1,,0.09375,0.6875,1,1,org.eclipse.debug.internal.ui.views.expression
org.eclipse.debug.internal.ui.views.launch,7,4,0,22,0,0,1,,0.04040404,0.787878788,1,1,org.eclipse.debug.internal.ui.views.launch
org.eclipse.debug.internal.ui.views.variables,4,4,0,23,2,0.92,0.08,,0.045454545,0.738636364,0.988636364,0.988636364,org.eclipse.debug.internal.ui.views.variables
org.eclipse.debug.ui,3,14,6,27,17,0.613636364,5.613636364,,0.070512821,0.769230769,0.993589744,0.987179487,org.eclipse.debug.ui
org.eclipse.debug.ui.actions,0,2,0,2,0,0,1,,0.75,0.75,1,1,org.eclipse.debug.ui.actions
org.eclipse.help,0,8,7,3,11,0.214285714,6.214285714,,0.083333333,0.75,1,1,org.eclipse.help
org.eclipse.help.internal,0,3,0,10,7,0.588235294,0.411764706,,0.076923077,0.769230769,0.923076923,0.871794872,org.eclipse.help.internal
org.eclipse.help.internal.context,1,10,0.111111111,12,3,0.8,0.088888889,,0.344827586,0.75862069,0.965517241,0.965517241,org.eclipse.help.internal.context
org.eclipse.help.internal.protocols,0,13,0,12,0,0,1,,0.342105263,0.815789474,1,1,org.eclipse.help.internal.protocols
org.eclipse.help.internal.proxy.protocol,0,1,0,5,5,0.5,0.5,,0,0,1,1,org.eclipse.help.internal.proxy.protocol
org.eclipse.help.internal.proxy.protocol.help,0,1,0,3,0,0,1,,0,0,1,1,org.eclipse.help.internal.proxy.protocol.help
org.eclipse.help.internal.proxy.protocol.links,0,1,0,3,0,0,1,,0,0,1,1,org.eclipse.help.internal.proxy.protocol.links
org.eclipse.help.internal.proxy.protocol.livehelp,0,1,0,3,0,0,1,,0,0,1,1,org.eclipse.help.internal.proxy.protocol.livehelp
org.eclipse.help.internal.proxy.protocol.platform,0,1,0,3,0,0,1,,0,0,1,1,org.eclipse.help.internal.proxy.protocol.platform
org.eclipse.help.internal.proxy.protocol.search,0,1,0,3,0,0,1,,0,0,1,1,org.eclipse.help.internal.proxy.protocol.search
org.eclipse.help.internal.search,1,17,0.133333333,10,2,0.833333333,0.033333333,,0.384615385,0.846153846,0.974358974,0.974358974,org.eclipse.help.internal.search
org.eclipse.help.internal.toc,1,13,0.181818182,12,5,0.705882353,0.112299465,,0.292682927,0.804878049,0.975609756,0.975609756,org.eclipse.help.internal.toc
org.eclipse.help.internal.util,0,11,0,8,7,0.533333333,0.466666667,,0.175438596,0.859649123,1,0.98245614,org.eclipse.help.internal.util
org.eclipse.help.servlet,4,13,0.083333333,7,0,0,0.916666667,,1,1,1,1,org.eclipse.help.servlet
org.eclipse.help.standalone,0,2,0,7,0,0,1,,1,1,1,1,org.eclipse.help.standalone
org.eclipse.help.ui.browser,0,3,2,8,8,0.5,1.5,,0.090909091,0.363636364,1,1,org.eclipse.help.ui.browser
org.eclipse.help.ui.internal,0,11,0.222222222,25,5,0.833333333,0.055555556,,0.102564103,0.692307692,0.974358974,0.974358974,org.eclipse.help.ui.internal
org.eclipse.help.ui.internal.browser,0,3,0,12,3,0.8,0.2,,0.103448276,0.586206897,0.965517241,0.931034483,org.eclipse.help.ui.internal.browser
org.eclipse.help.ui.internal.browser.aix,0,2,0,4,0,0,1,,0.4,0.6,1,1,org.eclipse.help.ui.internal.browser.aix
org.eclipse.help.ui.internal.browser.hpux,0,2,0,4,0,0,1,,0.4,0.6,1,1,org.eclipse.help.ui.internal.browser.hpux
org.eclipse.help.ui.internal.browser.linux,0,2,0,6,0,0,1,,0.25,0.5,1,1,org.eclipse.help.ui.internal.browser.linux
org.eclipse.help.ui.internal.browser.solaris,0,2,0,4,0,0,1,,0.4,0.6,1,1,org.eclipse.help.ui.internal.browser.solaris
org.eclipse.help.ui.internal.browser.win32,2,9,0.285714286,17,0,0,0.714285714,,0.173076923,0.769230769,1,1,org.eclipse.help.ui.internal.browser.win32
org.eclipse.help.ui.internal.search,1,5,0,23,0,0,1,,0.145454545,0.654545455,1,1,org.eclipse.help.ui.internal.search
org.eclipse.help.ui.internal.util,0,8,0,15,8,0.652173913,0.347826087,,0.163265306,0.632653061,1,0.979591837,org.eclipse.help.ui.internal.util
org.eclipse.jdi,0,3,0.5,5,5,0.5,0,,0,0.333333333,1,0.916666667,org.eclipse.jdi
org.eclipse.jdi.hcr,0,6,5,3,3,0.5,4.5,,0,0.5,1,1,org.eclipse.jdi.hcr
org.eclipse.jdi.internal,16,45,0.184210526,20,5,0.8,0.015789474,,0.251396648,0.927374302,0.87150838,0.972067039,org.eclipse.jdi.internal
org.eclipse.jdi.internal.connect,4,11,0.375,10,2,0.833333333,0.208333333,,0.392857143,0.785714286,0.928571429,0.964285714,org.eclipse.jdi.internal.connect
org.eclipse.jdi.internal.event,2,21,0.166666667,12,2,0.857142857,0.023809524,,0.259259259,0.901234568,0.975308642,0.975308642,org.eclipse.jdi.internal.event
org.eclipse.jdi.internal.jdwp,0,19,0.117647059,6,4,0.6,0.282352941,,0.37254902,0.901960784,0.980392157,0.980392157,org.eclipse.jdi.internal.jdwp
org.eclipse.jdi.internal.request,1,18,0.125,10,2,0.833333333,0.041666667,,0.24,0.92,0.813333333,0.973333333,org.eclipse.jdi.internal.request
org.eclipse.jdi.internal.spy,2,4,0,5,2,0.714285714,0.285714286,,0.222222222,0.888888889,1,1,org.eclipse.jdi.internal.spy
org.eclipse.jdt.core,6,54,3.909090909,18,90,0.166666667,3.075757576,,0.0640625,0.853125,0.9828125,0.9953125,org.eclipse.jdt.core
org.eclipse.jdt.core.compiler,0,4,3,2,33,0.057142857,2.057142857,,0.026315789,0.394736842,1,1,org.eclipse.jdt.core.compiler
org.eclipse.jdt.core.dom,45,89,0.171052632,14,21,0.4,0.428947368,,0.294701987,0.894039735,1,1,org.eclipse.jdt.core.dom
org.eclipse.jdt.core.eval,0,3,0,5,4,0.555555556,0.444444444,,0,0,0,0,org.eclipse.jdt.core.eval
org.eclipse.jdt.core.jdom,0,12,5,4,1,0.8,4.8,,0.538461538,0.923076923,1,1,org.eclipse.jdt.core.jdom
org.eclipse.jdt.core.search,3,6,5,11,29,0.275,4.275,,0.149425287,0.655172414,0.977011494,0.977011494,org.eclipse.jdt.core.search
org.eclipse.jdt.core.util,0,25,7.333333333,1,1,0.5,6.833333333,,0.952380952,0.952380952,1,1,org.eclipse.jdt.core.util
org.eclipse.jdt.debug.core,6,27,26,8,13,0.380952381,25.38095238,,0.263157895,0.789473684,1,0.964912281,org.eclipse.jdt.debug.core
org.eclipse.jdt.debug.eval,0,7,6,6,7,0.461538462,5.461538462,,0.25,0.25,1,1,org.eclipse.jdt.debug.eval
org.eclipse.jdt.debug.ui,1,2,1,8,6,0.571428571,0.571428571,,0.095238095,0.523809524,1,1,org.eclipse.jdt.debug.ui
org.eclipse.jdt.debug.ui.launchConfigurations,5,6,0,31,3,0.911764706,0.088235294,,0,0.745283019,1,0.990566038,org.eclipse.jdt.debug.ui.launchConfigurations
org.eclipse.jdt.internal.codeassist,10,6,2,17,3,0.85,1.85,,0.033333333,0.875,1,0.991666667,org.eclipse.jdt.internal.codeassist
org.eclipse.jdt.internal.codeassist.complete,4,27,0,10,1,0.909090909,0.090909091,,0.303370787,0.887640449,1,1,org.eclipse.jdt.internal.codeassist.complete
org.eclipse.jdt.internal.codeassist.impl,2,3,2,11,3,0.785714286,1.785714286,,0.056603774,0.773584906,1,0.981132075,org.eclipse.jdt.internal.codeassist.impl
org.eclipse.jdt.internal.codeassist.select,2,18,0,10,1,0.909090909,0.090909091,,0.246575342,0.863013699,1,1,org.eclipse.jdt.internal.codeassist.select
org.eclipse.jdt.internal.compiler,5,16,0.777777778,12,23,0.342857143,0.120634921,,0.065,0.87,0.885,0.97,org.eclipse.jdt.internal.compiler
org.eclipse.jdt.internal.compiler.ast,5,88,0.189189189,12,16,0.428571429,0.382239382,,0.329588015,0.928838951,0.883895131,0.97752809,org.eclipse.jdt.internal.compiler.ast
org.eclipse.jdt.internal.compiler.batch,1,6,0,11,2,0.846153846,0.153846154,,0.222222222,0.666666667,1,1,org.eclipse.jdt.internal.compiler.batch
org.eclipse.jdt.internal.compiler.classfmt,1,7,0.4,9,10,0.473684211,0.126315789,,0.175,0.675,1,1,org.eclipse.jdt.internal.compiler.classfmt
org.eclipse.jdt.internal.compiler.codegen,3,17,0.214285714,9,6,0.6,0.185714286,,0.131147541,0.926229508,0.918032787,0.967213115,org.eclipse.jdt.internal.compiler.codegen
org.eclipse.jdt.internal.compiler.env,1,15,14,1,24,0.04,13.04,,0.25,0.625,1,1,org.eclipse.jdt.internal.compiler.env
org.eclipse.jdt.internal.compiler.flow,1,11,0.1,7,4,0.636363636,0.263636364,,0.139240506,0.924050633,0.949367089,0.962025316,org.eclipse.jdt.internal.compiler.flow
org.eclipse.jdt.internal.compiler.impl,1,14,0.272727273,9,20,0.310344828,0.4169279,,0.102803738,0.803738318,0.990654206,0.962616822,org.eclipse.jdt.internal.compiler.impl
org.eclipse.jdt.internal.compiler.lookup,4,41,0.464285714,11,21,0.34375,0.191964286,,0.162055336,0.928853755,0.90513834,0.972332016,org.eclipse.jdt.internal.compiler.lookup
org.eclipse.jdt.internal.compiler.parser,11,18,0.058823529,11,16,0.407407407,0.533769063,,0.091503268,0.862745098,0.960784314,0.980392157,org.eclipse.jdt.internal.compiler.parser
org.eclipse.jdt.internal.compiler.problem,1,10,0.111111111,10,21,0.322580645,0.566308244,,0.055555556,0.851851852,0.759259259,0.969135802,org.eclipse.jdt.internal.compiler.problem
org.eclipse.jdt.internal.compiler.util,1,9,0,5,26,0.161290323,0.838709677,,0.043209877,0.839506173,0.987654321,0.99382716,org.eclipse.jdt.internal.compiler.util
org.eclipse.jdt.internal.core,15,103,0.131868132,31,16,0.659574468,0.2085574,,0.324590164,0.901639344,0.957377049,0.967213115,org.eclipse.jdt.internal.core
org.eclipse.jdt.internal.core.builder,3,21,0.105263158,15,2,0.882352941,0.012383901,,0.318181818,0.818181818,0.984848485,0.984848485,org.eclipse.jdt.internal.core.builder
org.eclipse.jdt.internal.core.eval,0,3,0,11,1,0.916666667,0.083333333,,0.139534884,0.790697674,0.976744186,0.976744186,org.eclipse.jdt.internal.core.eval
org.eclipse.jdt.internal.core.hierarchy,3,9,0.285714286,21,2,0.913043478,0.198757764,,0.081081081,0.846846847,0.981981982,0.981981982,org.eclipse.jdt.internal.core.hierarchy
org.eclipse.jdt.internal.core.index,0,7,6,5,4,0.555555556,5.555555556,,0.25,0.5,1,1,org.eclipse.jdt.internal.core.index
org.eclipse.jdt.internal.core.index.impl,1,34,0.307692308,9,5,0.642857143,0.049450549,,0.472222222,0.888888889,1,0.972222222,org.eclipse.jdt.internal.core.index.impl
org.eclipse.jdt.internal.core.jdom,0,15,0.25,12,2,0.857142857,0.107142857,,0.490909091,0.8,1,0.981818182,org.eclipse.jdt.internal.core.jdom
org.eclipse.jdt.internal.core.search,3,12,0.333333333,14,6,0.7,0.033333333,,0.185185185,0.796296296,0.925925926,0.888888889,org.eclipse.jdt.internal.core.search
org.eclipse.jdt.internal.core.search.indexing,1,15,0.25,19,5,0.791666667,0.041666667,,0.180722892,0.795180723,0.951807229,0.963855422,org.eclipse.jdt.internal.core.search.indexing
org.eclipse.jdt.internal.core.search.matching,6,30,0.153846154,24,2,0.923076923,0.076923077,,0.165745856,0.883977901,0.988950276,0.994475138,org.eclipse.jdt.internal.core.search.matching
org.eclipse.jdt.internal.core.search.processing,0,2,0,5,5,0.5,0.5,,0.047619048,0.714285714,1,0.904761905,org.eclipse.jdt.internal.core.search.processing
org.eclipse.jdt.internal.core.util,2,32,0.185185185,8,3,0.727272727,0.087542088,,0.662162162,0.945945946,1,0.972972973,org.eclipse.jdt.internal.core.util
org.eclipse.jdt.internal.corext,1,3,0,4,21,0.16,0.84,,0.042553191,0.510638298,1,1,org.eclipse.jdt.internal.corext
org.eclipse.jdt.internal.corext.codemanipulation,9,27,0.173913043,17,17,0.5,0.326086957,,0.192,0.752,1,1,org.eclipse.jdt.internal.corext.codemanipulation
org.eclipse.jdt.internal.corext.dom,4,11,0,9,11,0.45,0.55,,0.056737589,0.879432624,1,0.992907801,org.eclipse.jdt.internal.corext.dom
org.eclipse.jdt.internal.corext.javadoc,1,5,0.25,14,9,0.608695652,0.141304348,,0.090909091,0.745454545,0.963636364,0.963636364,org.eclipse.jdt.internal.corext.javadoc
org.eclipse.jdt.internal.corext.refactoring,1,12,0.090909091,14,19,0.424242424,0.484848485,,0.068965517,0.850574713,0.965517241,0.977011494,org.eclipse.jdt.internal.corext.refactoring
org.eclipse.jdt.internal.corext.refactoring.base,2,20,1.222222222,10,19,0.344827586,0.567049808,,0.106918239,0.842767296,0.993710692,0.993710692,org.eclipse.jdt.internal.corext.refactoring.base
org.eclipse.jdt.internal.corext.refactoring.changes,2,29,0.318181818,13,11,0.541666667,0.140151515,,0.186046512,0.852713178,1,0.976744186,org.eclipse.jdt.internal.corext.refactoring.changes
org.eclipse.jdt.internal.corext.refactoring.code,4,9,0,19,2,0.904761905,0.095238095,,0.090163934,0.852459016,1,1,org.eclipse.jdt.internal.corext.refactoring.code
org.eclipse.jdt.internal.corext.refactoring.code.flow,1,20,0.111111111,7,1,0.875,0.013888889,,0.202020202,0.939393939,1,1,org.eclipse.jdt.internal.corext.refactoring.code.flow
org.eclipse.jdt.internal.corext.refactoring.nls,0,8,0,16,2,0.888888889,0.111111111,,0.2,0.783333333,0.983333333,0.983333333,org.eclipse.jdt.internal.corext.refactoring.nls
org.eclipse.jdt.internal.corext.refactoring.nls.changes,0,4,0,10,2,0.833333333,0.166666667,,0.142857143,0.714285714,1,0.964285714,org.eclipse.jdt.internal.corext.refactoring.nls.changes
org.eclipse.jdt.internal.corext.refactoring.rename,6,25,0.041666667,19,5,0.791666667,0.166666667,,0.167938931,0.832061069,1,1,org.eclipse.jdt.internal.corext.refactoring.rename
org.eclipse.jdt.internal.corext.refactoring.reorg,1,12,0.333333333,19,5,0.791666667,0.125,,0.107142857,0.830357143,1,0.991071429,org.eclipse.jdt.internal.corext.refactoring.reorg
org.eclipse.jdt.internal.corext.refactoring.sef,0,6,0,15,1,0.9375,0.0625,,0.114285714,0.8,1,1,org.eclipse.jdt.internal.corext.refactoring.sef
org.eclipse.jdt.internal.corext.refactoring.structure,3,14,0,19,4,0.826086957,0.173913043,,0.138613861,0.801980198,1,0.99009901,org.eclipse.jdt.internal.corext.refactoring.structure
org.eclipse.jdt.internal.corext.refactoring.surround,0,5,0.25,16,2,0.888888889,0.138888889,,0.069444444,0.777777778,1,1,org.eclipse.jdt.internal.corext.refactoring.surround
org.eclipse.jdt.internal.corext.refactoring.tagging,0,4,0,4,4,0.5,0.5,,0,0,0,0,org.eclipse.jdt.internal.corext.refactoring.tagging
org.eclipse.jdt.internal.corext.refactoring.util,1,10,0.111111111,15,13,0.535714286,0.353174603,,0.044247788,0.796460177,1,0.982300885,org.eclipse.jdt.internal.corext.refactoring.util
org.eclipse.jdt.internal.corext.template,2,14,0.555555556,14,10,0.583333333,0.138888889,,0.25,0.714285714,0.964285714,0.982142857,org.eclipse.jdt.internal.corext.template
org.eclipse.jdt.internal.corext.template.java,3,10,0.25,18,5,0.782608696,0.032608696,,0.152542373,0.694915254,0.983050847,0.983050847,org.eclipse.jdt.internal.corext.template.java
org.eclipse.jdt.internal.corext.textmanipulation,2,15,0.363636364,16,17,0.484848485,0.151515152,,0.129310345,0.75,1,1,org.eclipse.jdt.internal.corext.textmanipulation
org.eclipse.jdt.internal.corext.util,1,8,0,12,34,0.260869565,0.739130435,,0.040816327,0.714285714,0.993197279,0.993197279,org.eclipse.jdt.internal.corext.util
org.eclipse.jdt.internal.debug.core,2,4,0.333333333,10,7,0.588235294,0.078431373,,0.25,0.783333333,0.966666667,0.966666667,org.eclipse.jdt.internal.debug.core
org.eclipse.jdt.internal.debug.core.breakpoints,8,9,0.125,12,2,0.857142857,0.017857143,,0.103448276,0.896551724,0.965517241,0.977011494,org.eclipse.jdt.internal.debug.core.breakpoints
org.eclipse.jdt.internal.debug.core.hcr,4,6,0.2,14,1,0.933333333,0.133333333,,0.09375,0.828125,0.984375,0.984375,org.eclipse.jdt.internal.debug.core.hcr
org.eclipse.jdt.internal.debug.core.model,18,27,0.173913043,15,6,0.714285714,0.111801242,,0.277777778,0.895833333,0.965277778,0.979166667,org.eclipse.jdt.internal.debug.core.model
org.eclipse.jdt.internal.debug.eval,0,3,0,12,1,0.923076923,0.076923077,,0.150943396,0.830188679,1,1,org.eclipse.jdt.internal.debug.eval
org.eclipse.jdt.internal.debug.eval.ast.engine,7,11,0.1,12,2,0.857142857,0.042857143,,0.052884615,0.956730769,0.995192308,0.990384615,org.eclipse.jdt.internal.debug.eval.ast.engine
org.eclipse.jdt.internal.debug.eval.ast.instructions,3,74,0.104477612,10,1,0.909090909,0.013568521,,0.732673267,0.930693069,0.99009901,0.99009901,org.eclipse.jdt.internal.debug.eval.ast.instructions
org.eclipse.jdt.internal.debug.ui,21,38,0.117647059,49,6,0.890909091,0.00855615,,0.130434783,0.854037267,0.99068323,0.99378882,org.eclipse.jdt.internal.debug.ui
org.eclipse.jdt.internal.debug.ui.actions,14,64,0.185185185,45,2,0.957446809,0.142631994,,0.207119741,0.86407767,0.996763754,0.996763754,org.eclipse.jdt.internal.debug.ui.actions
org.eclipse.jdt.internal.debug.ui.display,1,11,0.1,32,2,0.941176471,0.041176471,,0.069767442,0.76744186,0.992248062,0.984496124,org.eclipse.jdt.internal.debug.ui.display
org.eclipse.jdt.internal.debug.ui.launcher,10,35,0.166666667,43,3,0.934782609,0.101449275,,0.134328358,0.815920398,0.910447761,0.990049751,org.eclipse.jdt.internal.debug.ui.launcher
org.eclipse.jdt.internal.debug.ui.snippeteditor,4,18,0.125,49,2,0.960784314,0.085784314,,0.069124424,0.801843318,0.99078341,0.99078341,org.eclipse.jdt.internal.debug.ui.snippeteditor
org.eclipse.jdt.internal.eval,3,28,0.12,17,2,0.894736842,0.014736842,,0.207407407,0.881481481,1,1,org.eclipse.jdt.internal.eval
org.eclipse.jdt.internal.formatter,6,1,0,8,1,0.888888889,0.111111111,,0,0.375,1,0.875,org.eclipse.jdt.internal.formatter
org.eclipse.jdt.internal.formatter.impl,0,2,0,3,1,0.75,0.25,,0,0,1,1,org.eclipse.jdt.internal.formatter.impl
org.eclipse.jdt.internal.junit.launcher,0,7,0.4,32,1,0.96969697,0.36969697,,0.070707071,0.737373737,0.98989899,0.98989899,org.eclipse.jdt.internal.junit.launcher
org.eclipse.jdt.internal.junit.runner,0,3,0.5,7,1,0.875,0.375,,0.5,0.75,1,0.75,org.eclipse.jdt.internal.junit.runner
org.eclipse.jdt.internal.junit.ui,0,21,0.166666667,31,4,0.885714286,0.052380952,,0.14893617,0.80141844,0.992907801,0.985815603,org.eclipse.jdt.internal.junit.ui
org.eclipse.jdt.internal.junit.util,0,9,0,26,2,0.928571429,0.071428571,,0.048192771,0.722891566,0.987951807,0.987951807,org.eclipse.jdt.internal.junit.util
org.eclipse.jdt.internal.junit.wizards,0,9,0.125,37,1,0.973684211,0.098684211,,0.081818182,0.709090909,0.972727273,0.990909091,org.eclipse.jdt.internal.junit.wizards
org.eclipse.jdt.internal.launching,14,23,0,19,2,0.904761905,0.095238095,,0.188118812,0.900990099,0.900990099,0.98019802,org.eclipse.jdt.internal.launching
org.eclipse.jdt.internal.ui,3,22,0.157894737,28,46,0.378378378,0.463726885,,0.047486034,0.829608939,0.938547486,0.974860335,org.eclipse.jdt.internal.ui
org.eclipse.jdt.internal.ui.actions,2,14,0.076923077,37,10,0.787234043,0.135842881,,0.25748503,0.754491018,0.994011976,0.994011976,org.eclipse.jdt.internal.ui.actions
org.eclipse.jdt.internal.ui.browsing,4,12,0.090909091,32,1,0.96969697,0.060606061,,0.076433121,0.808917197,1,1,org.eclipse.jdt.internal.ui.browsing
org.eclipse.jdt.internal.ui.compare,2,25,0.086956522,47,1,0.979166667,0.066123188,,0.142857143,0.744047619,0.994047619,0.994047619,org.eclipse.jdt.internal.ui.compare
org.eclipse.jdt.internal.ui.dialogs,1,13,0.083333333,23,13,0.638888889,0.277777778,,0.099099099,0.711711712,0.990990991,0.990990991,org.eclipse.jdt.internal.ui.dialogs
org.eclipse.jdt.internal.ui.dnd,1,8,0.333333333,14,4,0.777777778,0.111111111,,0.085106383,0.659574468,1,1,org.eclipse.jdt.internal.ui.dnd
org.eclipse.jdt.internal.ui.filters,1,10,0.111111111,18,6,0.75,0.138888889,,0.119402985,0.686567164,1,1,org.eclipse.jdt.internal.ui.filters
org.eclipse.jdt.internal.ui.jarpackager,1,18,0.125,38,1,0.974358974,0.099358974,,0.150943396,0.811320755,1,1,org.eclipse.jdt.internal.ui.jarpackager
org.eclipse.jdt.internal.ui.javadocexport,2,13,0.083333333,43,0,0,0.916666667,,0.112068966,0.706896552,1,1,org.eclipse.jdt.internal.ui.javadocexport
org.eclipse.jdt.internal.ui.javaeditor,7,43,0.194444444,56,25,0.691358025,0.114197531,,0.100244499,0.848410758,0.946210269,0.968215159,org.eclipse.jdt.internal.ui.javaeditor
org.eclipse.jdt.internal.ui.javaeditor.structureselection,1,6,0.2,17,1,0.944444444,0.144444444,,0.171428571,0.571428571,0.971428571,0.971428571,org.eclipse.jdt.internal.ui.javaeditor.structureselection
